Business Name,Company Type,Rating,Reviews,Address,Phone Number,Website,Email,Instagram,LinkedIn,Facebook,URL
The Red Chair Salon,Hair salon,4.7,223,"324 15th Ave E #104, Seattle, WA 98112",'+12069222427,http://www.redchairrocks.com/,info@redchairrocks.com,https://www.instagram.com/redchairrocks,,https://www.facebook.com/RedChairRocks/,https://www.google.com/maps/place/The+Red+Chair+Salon/data=!4m7!3m6!1s0x5490152ca071736b:0x9551850225c735fa!8m2!3d47.6213539!4d-122.3124365!16s%2Fg%2F1thlz43r!19sChIJa3NxoCwVkFQR-jXHJQKFUZU?authuser=0&hl=en&rclk=1
SPORTS HAIR SALON,Hair salon,4.5,566,"1103 Boylston Ave, Seattle, WA 98101",'+12063231761,,,,,,https://www.google.com/maps/place/SPORTS+HAIR+SALON/data=!4m7!3m6!1s0x54906acbd720fd17:0x8ebdc0ee59c296db!8m2!3d47.6116477!4d-122.3229027!16s%2Fg%2F1pp2ty2tj!19sChIJF_0g18tqkFQR25bCWe7AvY4?authuser=0&hl=en&rclk=1
Hazel Salon & Organics,Hair salon,4.6,161,"8301 Greenwood Ave N, Seattle, WA 98103",'+12064533515,http://www.hazelsalon.com/,info@hazelsalon.com,http://instagram.com/hazelsalon,,https://www.facebook.com/hazelsalon/,https://www.google.com/maps/place/Hazel+Salon+%26+Organics/data=!4m7!3m6!1s0x54901449c159e891:0x24c3c44ea7f407ba!8m2!3d47.6892738!4d-122.3556238!16s%2Fg%2F1tg_lb4v!19sChIJkehZwUkUkFQRugf0p07EwyQ?authuser=0&hl=en&rclk=1
Tracy's Hair Studio,Hair salon,4.8,159,"5216 University Wy NE, Seattle, WA 98105",'+12067291559,https://placegem.top/tracy-s-hair-studio-tevfohw,info@example.com,,,,https://www.google.com/maps/place/Tracy%27s+Hair+Studio/data=!4m7!3m6!1s0x54901463d692e979:0x1c3a5fe5b55afa73!8m2!3d47.6669614!4d-122.3128422!16s%2Fg%2F1tgvdb61!19sChIJeemS1mMUkFQRc_pateVfOhw?authuser=0&hl=en&rclk=1
Sasha Moon Salon,Hair salon,4.5,104,"9776 Holman Rd NW Unit 111, Seattle, WA 98117",'+12066407337,http://sashamoonsalon.com/,,http://instagram.com/sashamoonsalon,,,https://www.google.com/maps/place/Sasha+Moon+Salon/data=!4m7!3m6!1s0x54901455a93745eb:0x8b3036299a489b6e!8m2!3d47.7007205!4d-122.3629394!16s%2Fg%2F11c56dxfs2!19sChIJ60U3qVUUkFQRbptImik2MIs?authuser=0&hl=en&rclk=1
The Red Chair Salon,Hair salon,4.7,223,"324 15th Ave E #104, Seattle, WA 98112",'+12069222427,http://www.redchairrocks.com/,info@redchairrocks.com,https://www.instagram.com/redchairrocks,,https://www.facebook.com/RedChairRocks/,https://www.google.com/maps/place/The+Red+Chair+Salon/data=!4m7!3m6!1s0x5490152ca071736b:0x9551850225c735fa!8m2!3d47.6213539!4d-122.3124365!16s%2Fg%2F1thlz43r!19sChIJa3NxoCwVkFQR-jXHJQKFUZU?authuser=0&hl=en&rclk=1
The One Salon,Hair salon,4.3,209,"Aurora Ave N, Seattle, WA 98133",'+12538868808,,,,,,https://www.google.com/maps/place/The+One+Salon/data=!4m7!3m6!1s0x54901137327488db:0xdd04e26bc5c66bca!8m2!3d47.7248055!4d-122.3437773!16s%2Fg%2F11c49xswf0!19sChIJ24h0MjcRkFQRymvGxWviBN0?authuser=0&hl=en&rclk=1
Valentine Collective Salon,Hair salon,4.8,130,"1400 N 80th St #103, Seattle, WA 98103",'+12067081357,https://www.valentinecollectivesalon.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8297804430078190960,contact@valentinecollectivesalon.com,https://www.instagram.com/valentinecollectivesalon/,,,https://www.google.com/maps/place/Valentine+Collective+Salon/data=!4m7!3m6!1s0x4c672bffe3604e4b:0xcefb8eefc068ae55!8m2!3d47.6871373!4d-122.3400881!16s%2Fg%2F11tmvm8j42!19sChIJS05g4_8rZ0wRVa5owO-O-84?authuser=0&hl=en&rclk=1
Paint Salon,Hair salon,4.8,125,"1300 E Pike St Suite 103, Seattle, WA 98122",'+12063253311,http://paintsalonseattle.com/,info@paintsalonseattle.com,https://www.instagram.com/paintsalonseattle/,,,https://www.google.com/maps/place/Paint+Salon/data=!4m7!3m6!1s0x54906b1f2fbb9c73:0x1c9fcae3de0ec8d1!8m2!3d47.6143837!4d-122.3152047!16s%2Fg%2F11lg2dsym2!19sChIJc5y7Lx9rkFQR0cgO3uPKnxw?authuser=0&hl=en&rclk=1
Mint Hair Studio,Hair salon,4.6,86,"5424 Ballard Ave NW Suite # 301, Seattle, WA 98107",'+12067065220,http://hairbymint.com/,,https://www.instagram.com/hairbymint/,,https://www.facebook.com/Hairbymint/,https://www.google.com/maps/place/Mint+Hair+Studio/data=!4m7!3m6!1s0x549015c5e9178a3d:0x74521ece73fc633c!8m2!3d47.6683962!4d-122.3855011!16s%2Fg%2F1v5frl_p!19sChIJPYoX6cUVkFQRPGP8c84eUnQ?authuser=0&hl=en&rclk=1
Beehive Salon West Seattle,Beauty salon,4.8,98,"4502 42nd Ave SW Suite B, Seattle, WA 98116",'+12062583330,http://www.beehivesalonws.com/,info@beehivesalonws.com,https://www.instagram.com/beehivesalonws/,,https://www.facebook.com/beehivesalonws/,https://www.google.com/maps/place/Beehive+Salon+West+Seattle/data=!4m7!3m6!1s0x549040f9b4bdaebd:0x2c2dce5ce2103e2b!8m2!3d47.5627175!4d-122.3852653!16s%2Fg%2F11btvwjytl!19sChIJva69tPlAkFQRKz4Q4lzOLSw?authuser=0&hl=en&rclk=1
Vasuda Salon,Hair salon,4.4,134,"12317 15th Ave NE UNIT 106, Seattle, WA 98125",'+12065250870,http://www.vasudasalon.com/,info@vasudasalon.com,https://www.instagram.com/vasudasalon/,,https://www.facebook.com/vasudasalon/,https://www.google.com/maps/place/Vasuda+Salon/data=!4m7!3m6!1s0x5490115d51bff0c9:0x1db24b19173a574b!8m2!3d47.7182259!4d-122.3128352!16s%2Fg%2F1tcx16wb!19sChIJyfC_UV0RkFQRS1c6FxlLsh0?authuser=0&hl=en&rclk=1
Hair Gallery Salon,Hair salon,4.8,236,"318 2nd Ave S, Seattle, WA 98104",'+12066232900,http://www.hairgallerysalon.com/,,,,,https://www.google.com/maps/place/Hair+Gallery+Salon/data=!4m7!3m6!1s0x54906abb36b9a7bd:0x314fc4940514d4da!8m2!3d47.5993596!4d-122.3313689!16s%2Fg%2F1tfvgxxb!19sChIJvae5NrtqkFQR2tQUBZTETzE?authuser=0&hl=en&rclk=1
Salon 206,Hair salon,4.7,122,"2603 S McClellan St, Seattle, WA 98144",'+12067231446,,,,,,https://www.google.com/maps/place/Salon+206/data=!4m7!3m6!1s0x54906a624efeedf1:0x2fbffe8aa1eecef2!8m2!3d47.5781139!4d-122.2990817!16s%2Fg%2F1tdqt75s!19sChIJ8e3-TmJqkFQR8s7uoYr-vy8?authuser=0&hl=en&rclk=1
Happy Boys Hair Salon,Hair salon,4.3,122,"4507 University Wy NE STE 101, Seattle, WA 98105",'+13602456789,https://www.instagram.com/hb___team/,,,,https://l.facebook.com/l.php?u=https%3A%2F%2Fhelp.instagram.com%2F1128997980474717%3Fhelpref%3Dfaq_content&h=AT2ygcVLlePZgisTyAoFBzT4ZFU4b9y93pNFjCMpvodSf3vA0YOKEi9SgJyDb8JID8j2NmaHuiIsAmXGLw_tuE9LvtXshjOJ8yD0_DN55--5xDLJL1heHMIYk8fapSLBjCO07RBh8jOb1A-PGbxF0_EdOX8lCPuD_HGoNbtpM_I,https://www.google.com/maps/place/Happy+Boys+Hair+Salon/data=!4m7!3m6!1s0x54901545852594ef:0x5e3d0cec008858a0!8m2!3d47.6615359!4d-122.3135122!16s%2Fg%2F11sfp5jdkl!19sChIJ75QlhUUVkFQRoFiIAOwMPV4?authuser=0&hl=en&rclk=1
Robert Leonard Salon & Spa,Hair salon,4.7,215,"2033 6th Ave #151, Seattle, WA 98121",'+12064419900,https://www.robertleonard.net/,info@robertleonard.net,https://www.instagram.com/rlsalonseattle/,,https://www.facebook.com/rlsalonseattle/,https://www.google.com/maps/place/Robert+Leonard+Salon+%26+Spa/data=!4m7!3m6!1s0x5490154ba18112f9:0xe3d32af5b5374b78!8m2!3d47.6145956!4d-122.3391742!16s%2Fg%2F1x5qsg_h!19sChIJ-RKBoUsVkFQReEs3tfUq0-M?authuser=0&hl=en&rclk=1
Altar Hair Studio,Hair salon,5.0,36,"8628 3rd Ave NW suite b, Seattle, WA 98117",'+12067086929,http://www.altarhairstudio.com/,contact@altarhairstudio.com,http://instagram.com/altar_hair_studio,,http://www.facebook.com/10155831936194624,https://www.google.com/maps/place/Altar+Hair+Studio/data=!4m7!3m6!1s0x549015941036d9ed:0x5a4cf1c168f85071!8m2!3d47.6922745!4d-122.3604712!16s%2Fg%2F11f6yfm4g8!19sChIJ7dk2EJQVkFQRcVD4aMHxTFo?authuser=0&hl=en&rclk=1
Cherry Hair Design,Hair salon,4.5,342,"10328 Aurora Ave N, Seattle, WA 98133",'+12065236529,,,,,,https://www.google.com/maps/place/Cherry+Hair+Design/data=!4m7!3m6!1s0x549016aed241a417:0xfb928c0c97b4fc88!8m2!3d47.7041354!4d-122.344442!16s%2Fg%2F1vqtgh6q!19sChIJF6RB0q4WkFQRiPy0lwyMkvs?authuser=0&hl=en&rclk=1
Lady Neptune Salon,Hair salon,5.0,253,"5611 University Wy NE #100A, Seattle, WA 98105",'+17244262808,https://www.ladyneptunesalon.com/,hello.ladyneptune@gmail.com,https://www.instagram.com/ladyneptunesalon/,,https://www.facebook.com/ladyneptunesalon,https://www.google.com/maps/place/Lady+Neptune+Salon/data=!4m7!3m6!1s0x5490154d580f8e6b:0x9c1fe60047bbfb6!8m2!3d47.6698713!4d-122.3133095!16s%2Fg%2F11tt92x37m!19sChIJa44PWE0VkFQRtr97BGD-wQk?authuser=0&hl=en&rclk=1
Ella and Oz Salon,Hair salon,4.8,106,"2138 California Ave SW, Seattle, WA 98116",'+12069325988,http://www.ellaandoz.com/,info@ellaandoz.com,https://www.instagram.com/ellaandozsalon/,,https://www.facebook.com/ellaandoz/,https://www.google.com/maps/place/Ella+and+Oz+Salon/data=!4m7!3m6!1s0x5490413c7765261f:0x4a780f405d5167b5!8m2!3d47.5841651!4d-122.3861291!16s%2Fg%2F1tdvd8rm!19sChIJHyZldzxBkFQRtWdRXUAPeEo?authuser=0&hl=en&rclk=1
Caoba Hair Salon & Spa,Hair salon,4.4,122,"12732 Lake City Way NE, Seattle, WA 98125",'+12064405977,http://caobahairsalonspa.com/,,,,https://www.facebook.com/caobasalon/,https://www.google.com/maps/place/Caoba+Hair+Salon+%26+Spa/data=!4m7!3m6!1s0x5490117b0004b94b:0xef9ef14c3ff43f51!8m2!3d47.7221337!4d-122.2932537!16s%2Fg%2F1th6320_!19sChIJS7kEAHsRkFQRUT_0P0zxnu8?authuser=0&hl=en&rclk=1
Berry Berry,Hair salon,4.7,61,"108 5th Ave S, Seattle, WA 98104",'+12066233110,http://www.berryberrysalon.com/,info@berryberrysalon.com,,,,https://www.google.com/maps/place/Berry+Berry/data=!4m7!3m6!1s0x54906abbc9c2a80d:0x5ca3d6cc11ed1702!8m2!3d47.6011504!4d-122.3275185!16s%2Fg%2F11csb37ky0!19sChIJDajCybtqkFQRAhftEczWo1w?authuser=0&hl=en&rclk=1
Lake City Hair Salon,Hair salon,4.6,157,"12530 Lake City Way NE, Seattle, WA 98125",'+12063615878,,,,,,https://www.google.com/maps/place/Lake+City+Hair+Salon/data=!4m7!3m6!1s0x5490117b38fda80d:0xeea0e16feae74cd!8m2!3d47.7201543!4d-122.2944417!16s%2Fg%2F1thhk66q!19sChIJDaj9OHsRkFQRzXSu_hYO6g4?authuser=0&hl=en&rclk=1
Bocz Salon,Beauty salon,4.8,172,"390 Westlake Ave N STE A, Seattle, WA 98109",'+12066249134,https://boczsalon.com/bocz/,guestservice@boczsalon.com,https://www.instagram.com/boczsalon/,,,https://www.google.com/maps/place/Bocz+Salon/data=!4m7!3m6!1s0x54906ab4c226a319:0xca672310d2eac7d8!8m2!3d47.6218957!4d-122.3382612!16s%2Fg%2F1v2f06fr!19sChIJGaMmwrRqkFQR2Mfq0hAjZ8o?authuser=0&hl=en&rclk=1
Pinup Salon,Hair salon,4.8,91,"4151 Fauntleroy Wy SW, Seattle, WA 98126",'+12069325077,https://pinupsalon.biz/,bookme@pinupsalon.biz,https://instagram.com/pinupsalon.biz,,https://www.facebook.com/pinupsalonseattle,https://www.google.com/maps/place/Pinup+Salon/data=!4m7!3m6!1s0x5490406b91d237f7:0x378a919627710742!8m2!3d47.5653739!4d-122.3765496!16s%2Fg%2F1wrtckd6!19sChIJ9zfSkWtAkFQRQgdxJ5aRijc?authuser=0&hl=en&rclk=1
Hare Salon North Beach,Hair salon,5.0,44,"9256 View Ave NW, Seattle, WA 98117",'+16513983269,http://www.haresalon.com/,"lucie@haresalon.com, tiffany@haresalon.com, info@haresalon.com",https://www.instagram.com/haresalonseattle/,,https://www.facebook.com/HareSalonSeattle/,https://www.google.com/maps/place/Hare+Salon+North+Beach/data=!4m7!3m6!1s0x549015c63651728d:0x8919bce13e6586eb!8m2!3d47.6967942!4d-122.3998474!16s%2Fg%2F11hbr90lm8!19sChIJjXJRNsYVkFQR64ZlPuG8GYk?authuser=0&hl=en&rclk=1
International Salon,Hair salon,4.8,44,"12050 15th Ave NE # C-2, Seattle, WA 98125",'+12063634210,,,,,,https://www.google.com/maps/place/International+Salon/data=!4m7!3m6!1s0x549011be94e2f293:0xb816bb07207dde4d!8m2!3d47.7172976!4d-122.3122122!16s%2Fg%2F11lg0d170p!19sChIJk_LilL4RkFQRTd59IAe7Frg?authuser=0&hl=en&rclk=1
Salon Escada,Beauty salon,4.9,111,"13510 Aurora Ave N suite j, Seattle, WA 98133",'+12063877616,http://www.angelasalonescada.com/,simplyangela3@gmail.com,,,,https://www.google.com/maps/place/Salon+Escada/data=!4m7!3m6!1s0x549016a520f4dde9:0x64a0b6ae150fadb5!8m2!3d47.7270355!4d-122.3440017!16s%2Fg%2F1tf1njnx!19sChIJ6d30IKUWkFQRta0PFa62oGQ?authuser=0&hl=en&rclk=1
VAIN,Hair salon,4.5,194,"1121 Pike St, Seattle, WA 98101",'+12064413441,http://www.vain.com/,lisam@vain.com,https://www.instagram.com/vainbeautyworld/,,,https://www.google.com/maps/place/VAIN/data=!4m7!3m6!1s0x5490154d214dc07b:0xb36634bfba74636a!8m2!3d47.6136633!4d-122.3279544!16s%2Fg%2F1vg4jhfm!19sChIJe8BNIU0VkFQRamN0ur80ZrM?authuser=0&hl=en&rclk=1
Muller salon,Hair salon,4.9,23,"12350 Lake City Way NE, Seattle, WA 98125",'+12062297915,http://mullersalon.com/,,,,,https://www.google.com/maps/place/Muller+salon/data=!4m7!3m6!1s0x54901172dbe26245:0x1a712dc667f2c875!8m2!3d47.7186133!4d-122.29536!16s%2Fg%2F11sd_zy391!19sChIJRWLi23IRkFQRdcjyZ8YtcRo?authuser=0&hl=en&rclk=1
Apricus Salon,Hair salon,4.9,73,"101 N 85th St Suite 203, Seattle, WA 98103",'+12065822144,http://apricussalonseattle.com/,hello@apricussalonseattle.com,,,,https://www.google.com/maps/place/Apricus+Salon/data=!4m7!3m6!1s0x549015e15d338e49:0xfb425d016d8d324d!8m2!3d47.6903854!4d-122.3577715!16s%2Fg%2F11lkgyrg_2!19sChIJSY4zXeEVkFQRTTKNbQFdQvs?authuser=0&hl=en&rclk=1
salon metro,Beauty salon,4.7,55,"1714 N 45th St, Seattle, WA 98103",'+12065456905,http://salonmetroseattle.com/,cindyfrank@salonmetroseattle.com,,,,https://www.google.com/maps/place/salon+metro/data=!4m7!3m6!1s0x54901457498339f1:0xe35b05ac9a04d298!8m2!3d47.6615192!4d-122.3369006!16s%2Fg%2F1wf21kd1!19sChIJ8TmDSVcUkFQRmNIEmqwFW-M?authuser=0&hl=en&rclk=1
Treehouse Salon,Hair salon,4.9,115,"1520 11th Ave, Seattle, WA 98122",'+12064660020,http://treehousesalonseattle.com/,treehousesalonseattle@gmail.com,http://instagram.com/treehousesalonseattle,,,https://www.google.com/maps/place/Treehouse+Salon/data=!4m7!3m6!1s0x54906b6763bd9b05:0x68685b4ccdae0768!8m2!3d47.6147563!4d-122.3177519!16s%2Fg%2F11l6jv2lv_!19sChIJBZu9Y2drkFQRaAeuzUxbaGg?authuser=0&hl=en&rclk=1
